单间 | 一号线竹山路站 精装修 朝南带阳台 蓝天公寓 今天
整租 | 贝客公寓 近南艺 大桥南路家乐福虎踞北路古林公园 免 大桥南路戴家巷 今天
单间 | 艺术家园一号线地铁非中介家电齐全拎包入住可月付 艺术家园 今天
单间 | 苜蓿园地铁口 苜蓿新苑 中山东路 近南农南航 军总医 苜蓿新苑 今天
整租 | 为你而选为你为家 双卧朝南 采光充足 居家装修 拎包 凤凰西街小区 今天
单间 | 拎包入住,随时带看,精装修,交通方便 东渡国际青年城 今天
单间 | 地铁沿线 拎包入住 押一付一 精装修非中介主卧带阳台 东渡国际青年城 今天
整租 | 奥体双和园 雨润大街地铁 超高性价比 精装整租 近科 双和园 今天
整租 | 爱达花园单室套 应天西路虹悦城旁 全装全配采光好 诚 爱达花园兰花园 今天
单间 | 短租 秦淮靠御道街和瑞金路 近大阳沟大光路 南京航空 御道园 今天
单间 | 大行宫常府街双地铁口 郑和公园边小吃街 超大三房 舒 绣花巷小区 01-06
整租 | 弘扬大厦 精装单室套 家电齐备 拎包入住 弘阳大厦 今天
整租 | 采光极好，价格便宜啦 南湾营煦康苑 今天
单间 | 浦口区 柳州东路 威尼斯水城 大阳台独卫 年底转租 威尼斯水城十街区 今天
整租 | 景祥佳园 精装两房 家电齐全 拎包入住 好停车 景祥佳园 今天
单间 | 秦淮区武定门地铁 蔚蓝星座 白鹭洲公园 雅居乐花园 雅居乐花园 今天
单间 | 秦淮区人民政府对面 龙蟠中路 武定门地铁站 秦虹短租 雅居乐花园 今天
单间 | 大光路 御道街 瑞金路 光华路 金宇饭店 解放路 短 大光路37号 今天
单间 | 拉德芳斯梧桐花园北苑 建邺奥体 元通地铁站 西提国际 拉德芳斯 今天
整租 | 地铁口 交通便利 拎包入住 武夷绿洲观竹苑 今天
单间 | (地铁一号线河定桥)繁华地段,紧邻地铁,非中介,全新 亲水湾 今天
单间 | （个人）柳州东路地铁站旁 主卧温馨出租 素质住户 采 明发三期 今天
整租 | AI上租 全网月付 春江新城 靠近软件园 春江新城新河苑 今天
单间 | 栖霞马群 芝嘉东苑 6室 2厅 主卧 None 今天
单间 | 东渡国际青年城精装修,拎包入住,随时带看 东渡国际青年城 今天
整租 | 夫子庙精装公寓人合人，只有你想不到，没有我们做不到 夫子庙精装人合人公寓 今天
单间 | 秦淮区大光路 大阳沟 光华大厦 御道街 金陵尚府 短 大阳沟44号 今天
单间 | 天印大道铁口恒安嘉园 大阳台间家电齐全 恒安嘉园 今天
单间 | AI上租 全网月付能仁里小区 靠近中华门地铁口 能仁里1号 今天
单间 | 秦淮大光路37号御道街 大阳沟 金陵尚府 金宇饭店 大光路37号 今天
整租 | 仙林地铁东方天郡精装二房 有车位暖气 二卧朝南 东方天郡 今天
单间 | 白下 苜蓿园大街 光华路 天堂村公交站旁 天坛新寓旁 石门坎142号 今天
单间 | 可短租 秦淮大光路 金宇饭店旁边 近际华广场 光华大 大光路37号 今天
单间 | 艺术家园一号线地铁非中介家电齐全拎包入住可月付 艺术家园 今天
整租 | 王fu园小区 正规小区房 健康楼层 福鑫大厦 观城一 王府园小区 今天
整租 | 夫子庙精装公寓年底促销啦！看房签约有礼啦！送电费和水 夫子庙精装公寓人合人 今天
单间 | 秦淮区大光路 夫子庙 香格里拉 际华广场 龙蟠中路 金陵尚府 今天
单间 | 《个人》地铁口软件园附近单间出租400一500 韩府山庄 今天
单间 | 无中介 月付 恒大绿洲主卧朝南 合家春天 殷巷新寓 恒大绿洲 今天
单间 | 秦淮区石门坎 苜蓿园大街 光华路 石杨路 月牙湖 短 石门坎100号 今天
整租 | 御河新村 解放路 瑞金路 龙蟠中路 御道街 御河新村 今天
单间 | 白下 下马坊地铁口 南农大对面 后标营路 银城东苑对 戎泰山庄 今天
整租 | 房东租 珠江路地铁新世界中心旁公寓 可月付 北门桥 丹凤街 新世界中心 今天
单间 | 莱茵东郡交通便利家电齐全无中介可月付随时看房拎包入住 莱茵东郡 今天
整租 | 夫子庙精装公寓，住的开心，做的用心，安全至上全力以赴 夫子庙精装公寓人合人 今天
单间 | 白下 大光路37号 金宇饭店旁 白下 大光路 解放路 大光路37号 今天
单间 | 秦淮瑞金路 御道街 大光路 金宇饭店 南航 中和桥 瑞金新村 今天
单间 | 仙林湖精装公寓房 星叶枫情水岸 今天
整租 | 夫子庙人合人公寓年底促销啦！免7天房租，送水电费哦！ 夫子庙精装人合人公寓 今天
单间 | 恒大绿洲地铁三号线精装修随时看房家电齐全可短租 恒大绿洲 今天
单间 | 文鼎广场附近酒店式单身公寓出租个人 东方龙湖湾南湖苑 今天
整租 | 房东租 集庆门精装公寓 来凤小区对面 集庆门35路底站、来凤小区旁 今天
单间 | (地铁一号线河定桥)繁华地段,紧邻地铁,非中介,全新 亲水湾 今天
整租 | 贝客青年公寓三条巷店拎包入住靠夫子庙临常府街地铁站 贝客青年精品公寓三条巷店 今天
整租 | 夫子庙精装单室套公寓，30平方拥有自己的私人空间，免 夫子庙精装公寓RHR 今天
整租 | 瑞金新村 三房 精装 有钥匙 随时可看 瑞金路 明故 瑞金新村 今天
单间 | 龙蟠中路 夫子庙 长乐路 3号线武定门地铁站 186 枫丹白露 今天
单间 | 莱茵东郡一号线地铁非中介家电齐全拎包入住可月付 莱茵东郡 今天
单间 | 无中 介 左邻右里社区 水月秦淮 山水方舟精装主卧 左邻右里 今天
整租 | Ai上租 全网月付 靠近夫子庙 长乐路大油坊巷 交通 大油坊巷 今天
单间 | 秦淮 明故宫地铁口 瑞金路 后宰门 御道街 金宇饭店 大光路37号 今天
单间 | 湖南路合租狮子桥小区25平好格局便宜急租 狮子桥小区 今天
单间 | 东渡国际一号线地铁无家电齐全拎包入住 东渡国际青年城 今天
单间 | 栖霞马群 天悦花园 近花园城 近钟山学院 月付 马群地铁口天悦花园 今天
整租 | 夫子庙 武定门 雅居乐花园 白鹭洲公园 品牌装修月付 雅居乐花园 今天
整租 | 金地湖城艺境 精装2房 金地湖城艺境 今天
整租 | 恒辉翡翠花园 可压零付一 大户型包物业 拎包入住 随 恒辉翡翠花园 今天
单间 | 苜蓿园地铁口 苜蓿园大街 钟山风景区 紫金文化广场 卫岗西 今天
单间 | （个人）3号线柳州东路地铁口 明发滨江 次卧出租 采 明发三期 今天
整租 | 天元吉第城 精装修 押一付一 非中介 天元吉第城 今天
单间 | 恒大绿洲地铁三号线精装修随时看房家电齐全可短租 恒大绿洲 今天
整租 | 夫子庙人合人精装公寓，老门东旁拎包入住！看房有礼哦 夫子庙精装人合人公寓 今天
单间 | 马群天悦花园 马群地铁口 招商花园城 近钟山学院 直 天悦花园 今天
单间 | （个人）柳州东路地铁口 威尼斯水城单间出租 威尼斯水城一街区 今天
单间 | 无中 介 左邻右里社区 水月秦淮 山水方舟精装主卧 左邻右里 今天
整租 | 夫子庙单身公寓RHR,免7天房租，24HORSE服务 夫子庙人合人公寓 今天
整租 | 夫子庙长乐路精装公寓，有物业管理门禁私密安全，住的放 夫子庙精装公寓市第一医院旁 今天
整租 | 新街口 大洋百货 新百商场 小火瓦巷 精装单室套可短 西方巷 今天
整租 | 夫子庙性价比的单身公寓，24HORSE服务。免7天房 夫子庙精装人合人公寓 今天
单间 | 白下 苜蓿园地铁口 近二十八所 月牙湖 富丽山庄对面 梅花山庄 今天
单间 | 双龙大道地铁站 左邻右里豪华装修 主卧带阳台朝南 独 左邻右里 今天
单间 | 恒大绿洲非中介.可月付近地铁.家电齐全拎包入住.随时 恒大绿洲 今天
整租 | 夫子庙精装公寓RHR,武定门地铁站旁，单身公寓等着你 夫子庙精装公寓RHR 今天
整租 | 将军大道 居家精装好两房 还没出租过 居家优先考虑 挪威森林 今天
整租 | 迈皋桥地铁口 墨香山庄对面 紫金墨香苑 交通便利 家 北城新风 今天
整租 | 万欣花园 1室1厅1卫 精装修 万欣花园 今天
整租 | 油坊桥莲花新城 新街口 河西万达 奥体 短租 月付 莲花新城北苑 今天
整租 | 幸福筑家 熙龙山院样板房1楼适合办公豪华 装修看房方 东方熙龙山院 今天
整租 | 价格美丽 单室间出租 设施全 安怀新村 安怀新村 今天
整租 | (((逆天来袭)))月付 龙眠大道地铁口 莱茵东郡 天景山公寓佳福苑 今天
整租 | 奥体万达广场地铁口 佳和园 全新精装双卧朝南 实拍 佳和园 今天
单间 | 新街口 双地铁 金鹰 德基商场附近 纯女生精品 月租 天堂街小区 今天
整租 | 【整租】Ai上租 全网月付湖南路山西路中海凯旋门精装 龙吟广场 今天
单间 | 云锦美地 长虹路 集庆门大街 精装全配随时看 转租底 云锦美地 今天
整租 | 金地自在城 精装三房两厅 家具家电齐全 随时看房 拎 金地自在城 今天
单间 | 云锦路地铁口500米靠近河西万达典雅居对面国庆特价只 金陵世纪花园 今天
整租 | 苏宁馨瑰园 清江花园 融侨花园 清凉门 集庆门奥体地 融侨中央花园 今天
整租 | 个人花港幸福城 茉莉园 3室1厅 85平米 精装修 茉莉园 今天
整租 | 新街口地铁口 金鹰大洋百货石鼓路 弘嘉国际公寓 拎包 弘嘉国际公寓 今天
整租 | 无 鼓楼 虎踞北路 太古山庄 1室1厅 太古山庄 今天
整租 | (相寓)设施齐全 两房 出行方便 随时看房 可申请月 麒麟锦城 今天
整租 | 翠岭银河 毛坯两房 空间宽敞 交通便利 价格低 翠岭银河 今天
单间 | 【地铁站3号线天润城站200米处】【可短租】【欢迎来 天润城十一街区 今天
整租 | 纯地铁口 融侨世家 精装 临近义乌 家电齐全 拎包入 融侨世家 今天
整租 | 夫子庙精装人合人公寓在长乐路78号，性价比高服务好！ 夫子庙精装公寓RHR 今天
整租 | 朗诗玲珑屿 精装科技房 拎包入住 朗诗玲珑屿 今天
单间 | 汉中门地铁口 金鹰特惠附近 精装电梯房 交通便利 拎 莫愁家园 今天
整租 | 秦淮新街口张府园城开国际亚东名座家具家电齐全户型正气 城开国际 今天
整租 | 幸福筑家新街口 大行宫 延龄巷 游府新村 南北通透 游府新村 今天
整租 | 月付 可短租南京南站地铁口九都荟拎包住 设施全 万科九都荟 今天
整租 | 建邺湖西街安康村 2室1厅 58平米 精装修 半年付 安康村 今天
单间 | 汉中门地铁口 家电齐全 拎包即住 无 欢迎随时看房 石鼓路小区 今天
整租 | 德盈国际广场 商住两用 民用水电 可注册公司 看房方 德盈国际广场 今天
整租 | 江宁 天元吉第 婚装3房 家电齐全 拎包入住 楼层 天元吉第城 今天
整租 | 年末急租迈皋桥地铁口林景瑞园精装三居室 拎包入住 林景瑞园 今天
单间 | 工业大学校区 东南大学对面 狮子桥步行街旁 豪华装修 丁家桥工业大学 今天
整租 | 江宁百家湖艺 2室1厅 116平米 豪华装修 押一付 江宁百家湖艺术公馆 今天
单间 | 南大和园单间出租400-900元个人 仙林南大教师公寓 今天
单间 | 育仁雅居 2室2厅1卫 男女不限 育仁雅居 今天
整租 | 单身公寓 精装修 拎包入住 都市公社 今天
整租 | 海德北岸 精装修2房出租 随时看房 海德北岸城 今天
整租 | 桥北新村 2房 居家装修 业主急租 桥北新村 今天
整租 | 汉中门大街 莫愁湖地铁口 金贸新寓 精装修拎包住 交 金贸新寓 今天
整租 | 下关小市小市新村 2室1厅 66平米 简单装修 押一 小市新村 今天
整租 | 栖霞区 晓庄国际广场 精装单室套 交通便利 晓庄国际广场 今天
单间 | Ai上租，全网月付玄武区三号线新庄地铁站锁心村旁板仓 板仓街2号 今天
整租 | (红山山庄) (800元)温馨舒适价格实惠可短期月付 红山山庄 今天
整租 | 交院地铁口 文博苑 精装两房 家具齐全 看房方便 拎 文博苑 今天
单间 | 草场门大街 龙江大厦 新城市广场 金盛摩尔 高教新村 宁工新寓一村 今天
整租 | 芳庭潘园 精装3房 临近地铁口 家电齐全 拎包入住 芳庭潘园 今天
单间 | 南方花园 主卧独卫 月付 可短租 家电Wi-Fi齐全 南方花园 今天
整租 | 【富房好房】华城名府 精装修 家电齐全 拎包入住 华城名府 今天
整租 | 可月付 武夷绿洲居家装修 两室一厅 毗邻一号线 武夷绿洲 今天
单间 | 个人【主卧次卧各一个】【可以短租，500--1000 威尼斯水城一街区 今天
整租 | 清河新寓天玺国际苏宁环球商贸城合租不限男女精装 清河新寓 今天
整租 | 长江花园1房1厅居家情侣长住房东直租 长江花园1房1厅居家情侣长住房东直租 今天
单间 | 3号线柳州东路~威尼斯水城~主卧带阳台（可短租，可月 威尼斯水城 今天
单间 | 西安门地铁 军总医院 瑞金路 中山东路 解放路 黄埔 西华东村社区 今天
整租 | 紫金明珠两室两厅精装修适合居家南北通透客厅带阳台 万达紫金明珠 今天
单间 | 新街口地铁口大洋百货(500元)(可以短期月付设施齐 石鼓路小区 今天
单间 | 房东直租 拎包入住 苜蓿园大街 月牙湖花园 紫金城 海月花园 今天
整租 | 积善新寓（睦和园）3室1厅 交通便利 积善新寓睦和园 今天
整租 | 旭日上城一期 精装2房 拎包入住 配套齐全 紧邻弘扬 旭日上城 今天
整租 | 地铁口奥体保利香槟国际 罕见精装3室120平拎包住设 保利香槟国际 今天
整租 | 高新香溢紫郡雅苑带装修小三房三台空调家具齐全价格实惠 香溢紫郡雅苑二期 今天
整租 | 为你而选为你为家 宝象花园，装修好三房，面积130m 宝象花园 今天
单间 | 南方花园 双龙大道地铁站 1号线沿线 直达新街口 拎 南方花园C组团 今天
整租 | 钟山花园城博 2室1厅 89平米 精装修 半年付 钟山花园城博雅居 今天
单间 | 延龄巷64号中单元401 次卧室 出租 靠近大行宫地 延龄巷64号 今天
整租 | 嗨住租房--畅想浪漫花园洋房生活,交通也超方便 芝嘉花园 今天
整租 | 左岸名苑 楼层好 装修好 采光好 看房方便 拎包入住 左岸名苑 今天
整租 | 浦口江浦东方万汇城 1室1厅 31平米 精装修 押一 东方万汇城 今天
单间 | 凤凰西街汉中门大街云锦路地铁口欧尚超市旁凤凰花园城急 莫愁花园牡丹里 今天
整租 | 江浦杨柳新村 2室2厅80平米 简单装修 适合拆迁过 杨柳新村 今天
单间 | 明发三期 靠地铁,单间出租500一900押一付一,可 明发三期 今天
单间 | 个人 安德门地铁口 警官学院附近 康润园 今天
单间 | 独立厨房 家具家电齐全 虹悦城旁 长虹新寓 今天
单间 | 地铁一号线河定桥站附近 靠近欧尚超市 精装朝北次卧 金王府 01-07
整租 | 盈嘉青春渡 便宜精装一室 一号线双龙大道 盈嘉青春渡 今天
